315,125.392976,216.58.209.202,192.168.0.202,42,192.168.0.102 is at dc:85:de:91:34:93
1,0.000000,199.16.156.52,216.58.209.202,TCP,55,[TCP segment of a reassembled PDU]
2,0.060307,199.16.156.52,192.168.0.102,TCP,68,443  >  55450 [ACK] Seq=1 Ack=2 Win=189 Len=0 SLE=1 SRE=2
3,1.164448,192.168.0.102,199.16.156.52,SSL,55,Continuation Data
4,1.325261,199.16.156.52,192.168.0.102,TCP,68,443  >  55424 [ACK] Seq=1 Ack=2 Win=131 Len=0 SLE=1 SRE=2
5,2.164805,192.168.0.102,172.217.20.174,TCP,55,[TCP segment of a reassembled PDU]
8,3.273010,192.168.0.102,34.251.46.27,TCP,54,55462  >  80 [ACK] Seq=1 Ack=2 Win=254 Len=0
10,3.373302,192.168.0.102,192.30.253.125,TLSv1.2,89,Application Data
12,4.817880,192.168.0.102,172.217.20.174,TCP,55,[TCP segment of a reassembled PDU]
14,4.919404,192.168.0.102,172.217.20.173,TCP,55,[TCP segment of a reassembled PDU]
16,6.766842,192.168.0.102,40.118.105.28,TLSv1.2,155,Application Data
18,6.879131,192.168.0.102,40.118.105.28,TCP,54,53866  >  443 [ACK] Seq=102 Ack=102 Win=257 Len=0
19,7.482542,192.168.0.102,104.25.219.21,TCP,54,"55458  >  443 [FIN, ACK] Seq=1 Ack=1 Win=32763 Len=0"
21,7.505824,192.168.0.102,104.25.219.21,TCP,54,55458  >  443 [ACK] Seq=2 Ack=2 Win=32763 Len=0
22,11.270482,192.168.0.102,172.217.20.163,TCP,55,[TCP segment of a reassembled PDU]
25,12.109424,192.168.0.102,198.252.206.25,TLSv1.2,91,Application Data
27,13.720671,192.168.0.102,216.58.209.206,TCP,55,[TCP segment of a reassembled PDU]
29,14.954685,192.168.0.102,157.55.235.176,TCP,56,"53868  >  40009 [PSH, ACK] Seq=1 Ack=1 Win=251 Len=2"
31,15.059195,192.168.0.102,157.55.235.176,TCP,545,"53868  >  40009 [PSH, ACK] Seq=3 Ack=1 Win=251 Len=491"
34,15.223895,192.168.0.102,157.55.235.176,TCP,54,53868  >  40009 [ACK] Seq=494 Ack=5 Win=251 Len=0
35,15.402436,192.168.0.102,74.125.232.79,TCP,55,[TCP segment of a reassembled PDU]
37,19.147380,192.168.0.102,64.233.161.188,TCP,55,53934  >  5228 [ACK] Seq=1 Ack=1 Win=254 Len=1
39,19.759912,192.168.0.102,172.217.20.174,TCP,55,[TCP segment of a reassembled PDU]
41,20.066784,192.168.0.102,216.58.209.202,TCP,55,[TCP segment of a reassembled PDU]
44,20.756918,192.168.0.102,198.252.206.25,TLSv1.2,91,Application Data
47,24.819363,192.168.0.102,157.55.130.154,UDP,81,23310  >  40029 Len=39
50,25.246276,192.168.0.102,40.77.226.192,TCP,54,53843  >  443 [ACK] Seq=1 Ack=502 Win=255 Len=0
52,26.041431,192.168.0.102,172.217.20.163,TCP,54,"55433  >  443 [FIN, ACK] Seq=2 Ack=64 Win=255 Len=0"
54,26.053444,192.168.0.102,172.217.20.163,TCP,54,55433  >  443 [ACK] Seq=3 Ack=65 Win=255 Len=0
57,28.338546,192.168.0.102,216.58.209.206,TCP,54,"55434  >  443 [FIN, ACK] Seq=2 Ack=64 Win=257 Len=0"
59,28.353897,192.168.0.102,216.58.209.206,TCP,54,55434  >  443 [ACK] Seq=3 Ack=65 Win=257 Len=0
62,28.774975,192.168.0.102,81.90.11.141,UDP,68,23310  >  24385 Len=26
64,29.889508,192.168.0.102,162.125.18.133,TLSv1.2,753,Application Data
66,32.149258,192.168.0.102,88.208.35.231,SSL,55,Continuation Data
68,39.695212,192.168.0.102,157.56.52.19,UDP,171,23310  >  40025 Len=129
69,39.695527,192.168.0.102,157.55.235.142,UDP,75,23310  >  40012 Len=33
70,39.695641,192.168.0.102,157.55.130.161,UDP,78,23310  >  40030 Len=36
72,39.787553,192.168.0.102,111.221.77.147,UDP,171,23310  >  40022 Len=129
75,40.033216,192.168.0.102,192.30.253.124,TCP,55,[TCP segment of a reassembled PDU]
79,44.276382,192.168.0.102,162.125.18.133,TLSv1.2,1060,Application Data
81,45.064712,192.168.0.102,216.58.209.202,TCP,55,[TCP Keep-Alive] 55450  >  443 [ACK] Seq=1 Ack=1 Win=256 Len=1
83,46.326557,192.168.0.102,199.16.156.52,TCP,55,[TCP Keep-Alive] 55424  >  443 [ACK] Seq=1 Ack=1 Win=252 Len=1
84,46.489203,199.16.156.52,192.168.0.102,TCP,68,[TCP Keep-Alive ACK] 443  >  55424 [ACK] Seq=1 Ack=2 Win=131 Len=0 SLE=1 SRE=2
